Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,Temprature,Humidity
,Saudi Arabia,2020-03-10T05:13:07,20,0,1,24.0,45.0,21.6,16
Queensland,Australia,2020-03-10T13:53:06,18,0,8,-28.0167,153.4,19.5,78
Victoria,Australia,2020-03-10T14:33:13,18,0,7,-37.8136,144.9631,23.4,44
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956,-13.7,47
,Oman,2020-03-10T08:33:02,18,0,9,21.0,57.0,24.1,30
,Argentina,2020-03-10T05:13:07,17,1,0,-38.4161,-63.6167,24.6,61
Georgia,US,2020-03-10T03:53:03,17,0,0,33.0406,-83.6431,17.7,84
,Pakistan,2020-03-10T05:13:07,16,0,1,30.3753,69.3451,6.8,79
,Ecuador,2020-03-09T09:03:03,15,0,0,-1.8312,-78.1834,13.8,93
,Georgia,2020-03-09T10:13:06,15,0,0,42.3154,43.3569,14.7,59
Colorado,US,2020-03-10T18:33:03,15,0,0,39.0598,-105.3111,1.6,72
Florida,US,2020-03-10T13:13:14,15,2,0,27.7663,-81.6868,22.4,68
New Jersey,US,2020-03-10T18:13:16,15,1,0,40.2989,-74.521,8.9,54
Oregon,US,2020-03-10T19:53:13,15,0,0,44.571999999999996,-122.0709,2.1,79
,Croatia,2020-03-10T16:53:13,14,0,0,45.1667,15.5,14.1,46
,Chile,2020-03-10T05:13:07,13,0,0,-35.6751,-71.543,19.4,52
Texas,US,2020-03-10T04:13:13,13,0,0,31.0545,-97.5635,22.9,77
,Estonia,2020-03-10T11:13:13,12,0,0,58.5953,25.0136,3.8,91
Illinois,US,2020-03-10T18:33:03,12,0,2,40.3495,-88.9861,5.4,92
Pennsylvania,US,2020-03-10T18:13:16,12,0,0,40.5908,-77.2098,6.4,65
,Azerbaijan,2020-03-10T16:13:27,11,0,0,40.1431,47.5769,14.7,57
,Peru,2020-03-10T16:33:13,11,0,0,-9.19,-75.0152,26.8,77
,Albania,2020-03-10T12:53:02,10,0,0,41.1533,20.1683,9.2,66
Macau,Macao SAR,2020-03-10T19:13:20,10,0,10,22.1667,113.55,20.3,89
,Russian Federation,2020-03-10T19:13:21,10,0,3,60.0,90.0,-1.3,97
,Belarus,2020-03-10T16:13:27,9,0,3,53.7098,27.9534,5.7,84
,Costa Rica,2020-03-09T09:03:03,9,0,0,9.7489,-83.7534,15.1,77
,Hungary,2020-03-09T09:43:03,9,0,0,47.1625,19.5033,11.6,77
,Latvia,2020-03-10T10:13:41,8,0,1,56.8796,24.6032,5.5,81
Iowa,US,2020-03-10T02:33:04,8,0,0,42.0115,-93.2105,5.4,86
Maryland,US,2020-03-10T18:13:16,8,0,0,39.0639,-76.8021,9.1,71
South Australia,Australia,2020-03-06T04:23:08,7,0,2,-34.9285,138.6007,25.6,34
Alberta,Canada,2020-03-09T17:53:24,7,0,0,53.9333,-116.5765,-4.4,89
,Mexico,2020-03-10T05:13:07,7,0,4,23.0,-102.0,18.4,55
,North Macedonia,2020-03-10T10:53:03,7,0,0,41.6086,21.7453,9.6,67
,Slovakia,2020-03-10T05:13:07,7,0,0,48.669,19.699,7.3,85
,South Africa,2020-03-10T05:13:07,7,0,0,-30.5595,22.9375,22.6,54
North Carolina,US,2020-03-10T02:33:04,7,0,0,35.6301,-79.8064,16.5,82
South Carolina,US,2020-03-10T02:33:04,7,0,0,33.8569,-80.945,19.2,80
Tennessee,US,2020-03-10T19:53:13,7,0,0,35.7478,-86.6923,12.9,97
Virginia,US,2020-03-10T03:53:03,7,0,0,37.7693,-78.17,12.8,71
Western Australia,Australia,2020-03-10T14:33:13,6,1,0,-31.9505,115.8605,25.2,67
,Maldives,2020-03-10T05:13:07,6,0,0,3.2028,73.2207,28.7,69
Arizona,US,2020-03-10T02:53:04,6,0,1,33.7298,-111.4312,13.6,95
Indiana,US,2020-03-10T17:13:25,6,0,0,39.8494,-86.2583,5.5,95
Kentucky,US,2020-03-10T02:33:04,6,0,0,37.6681,-84.6701,10.5,89
,Afghanistan,2020-03-10T12:33:02,5,0,0,33.0,65.0,4.3,42
,Bosnia and Herzegovina,2020-03-10T05:13:07,5,0,0,43.9159,17.6791,7.5,73
,Dominican Republic,2020-03-08T17:23:08,5,0,0,18.7357,-70.1627,20.1,87
,French Guiana,2020-03-07T03:23:05,5,0,0,3.9339,-53.1258,26.3,65
,Luxembourg,2020-03-10T05:13:07,5,0,0,49.8144,6.1317,11.5,86
,Malta,2020-03-10T16:33:13,5,0,0,35.9375,14.3754,13.9,67
,New Zealand,2020-03-07T02:03:29,5,0,0,-40.9006,174.886,11.6,72
,Serbia,2020-03-10T18:53:03,5,0,0,44.0165,21.0059,10.4,69
,Tunisia,2020-03-10T05:13:07,5,0,0,33.8869,9.5375,17.0,58
District of Columbia,US,2020-03-10T03:53:03,5,0,0,38.8974,-77.0268,9.5,73
,Bulgaria,2020-03-09T14:43:03,4,0,0,42.7339,25.4858,6.4,78
Quebec,Canada,2020-03-10T00:53:03,4,0,0,52.9399,-73.5491,-18.8,95
,Senegal,2020-03-08T20:23:08,4,0,1,14.4974,-14.4524,31.4,8
Nevada,US,2020-03-10T02:33:04,4,0,0,38.3135,-117.0554,6.8,72
New Hampshire,US,2020-03-10T02:33:04,4,0,0,43.4525,-71.5639,2.4,55
,Bangladesh,2020-03-10T06:19:32,3,0,0,23.685,90.3563,27.3,40
,Colombia,2020-03-10T05:33:02,3,0,0,4.5709,-74.2973,13.5,86
,Cyprus,2020-03-10T13:13:13,3,0,0,35.1264,33.4299,16.4,58
,Morocco,2020-03-10T14:13:14,3,1,0,31.7917,-7.0926,23.4,14
,Republic of Moldova,2020-03-10T19:13:21,3,0,0,47.4116,28.3699,10.1,69
Minnesota,US,2020-03-10T19:53:13,3,0,0,45.6945,-93.9002,-0.6,98
Nebraska,US,2020-03-10T03:13:17,3,0,0,41.1254,-98.2681,7.5,83
Ohio,US,2020-03-10T03:13:17,3,0,0,40.3888,-82.7649,5.8,93
Rhode Island,US,2020-03-10T03:13:17,3,0,0,41.6809,-71.5118,8.3,60
Wisconsin,US,2020-03-10T17:13:25,3,0,1,44.2685,-89.6165,1.5,97
Tasmania,Australia,2020-03-08T05:43:04,2,0,0,-41.4545,145.9707,11.8,86
,Cambodia,2020-03-08T04:53:03,2,0,1,11.55,104.9167,30.6,52
,Cameroon,2020-03-08T05:23:03,2,0,0,3.8480000000000003,11.5021,25.6,76
,Faroe Islands,2020-03-08T05:13:07,2,0,0,61.8926,-6.9118,4.1,83
,Martinique,2020-03-07T03:23:05,2,0,0,14.6415,-61.0242,24.1,78
,Nigeria,2020-03-09T09:43:03,2,0,0,9.082,8.6753,31.5,36
,Saint Martin,2020-03-10T05:33:02,2,0,0,18.0708,-63.0501,25.2,77
Connecticut,US,2020-03-10T03:13:17,2,0,0,41.5978,-72.7554,7.7,53
Hawaii,US,2020-03-10T03:13:17,2,0,0,21.0943,-157.4983,23.5,69
Oklahoma,US,2020-03-10T17:13:25,2,0,0,35.5653,-96.9289,17.4,73
Utah,US,2020-03-10T16:53:13,2,0,0,40.15,-111.8624,6.0,72
,Andorra,2020-03-02T20:23:16,1,0,0,42.5063,1.5218,12.0,55
,Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382,2.3,61
Northern Territory,Australia,2020-03-10T14:13:14,1,0,0,-12.4634,130.8456,28.3,76
,Bhutan,2020-03-06T15:43:02,1,0,0,27.5142,90.4336,6.7,77
,Brunei,2020-03-10T06:13:43,1,0,0,4.5353,114.7277,27.5,84
,Burkina Faso,2020-03-10T05:33:02,1,0,0,12.2383,-1.5616,32.1,6
,Channel Islands,2020-03-10T05:33:02,1,0,0,49.3723,-2.3644,11.3,92
,Gibraltar,2020-03-10T08:33:03,1,0,1,36.1408,-5.3536,16.9,74
,Holy See,2020-03-10T19:13:21,1,0,0,41.9029,12.4534,13.7,75
,Jordan,2020-03-03T15:33:02,1,0,0,31.24,36.51,24.0,19
,Liechtenstein,2020-03-04T01:33:07,1,0,0,47.14,9.55,8.9,82
,Lithuania,2020-02-28T16:23:03,1,0,0,55.1694,23.8813,5.6,77
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924,-4.3,26
,Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167,12.2,88
,Mongolia,2020-03-10T06:13:43,1,0,0,46.8625,103.8467,-14.3,77
,Nepal,2020-03-10T08:33:03,1,0,1,28.3949,84.124,-6.5,58
,Panama,2020-03-10T06:13:43,1,0,0,8.538,-80.7821,22.8,70
,Paraguay,2020-03-08T09:13:16,1,0,0,-23.4425,-58.4438,30.2,34
,Saint Barthelemy,2020-03-09T10:43:06,1,0,0,17.9,-62.8333,25.3,77
,Sri Lanka,2020-03-10T08:33:03,1,0,1,7.8731,80.7718,27.0,64
,Togo,2020-03-07T02:13:09,1,0,0,8.6195,0.8248,27.6,62
Kansas,US,2020-03-10T03:13:17,1,0,0,38.5266,-96.7265,9.7,93
Louisiana,US,2020-03-10T03:13:17,1,0,0,31.1695,-91.8678,19.9,90
Missouri,US,2020-03-10T03:13:17,1,0,0,38.4561,-92.2884,10.8,78
Vermont,US,2020-03-10T03:13:17,1,0,0,44.0459,-72.7107,-2.1,68
,Ukraine,2020-03-03T15:33:02,1,0,0,48.3794,31.1656,9.8,71
From Diamond Princess,Australia,2020-02-29T02:03:10,0,0,0,35.4437,139.638,10.9,45
Alaska,US,2020-03-10T02:33:04,0,0,0,61.3707,-152.4044,-21.9,65
Arkansas,US,2020-03-10T02:33:04,0,0,0,34.9697,-92.3731,13.5,95
Delaware,US,2020-03-10T02:33:04,0,0,0,39.3185,-75.5071,9.4,67
Idaho,US,2020-03-10T02:33:04,0,0,0,44.2405,-114.4788,-0.1,72
Maine,US,2020-03-10T02:33:04,0,0,0,44.6939,-69.3819,1.9,57
Michigan,US,2020-03-10T02:33:04,0,0,0,43.3266,-84.5361,3.0,87
Mississippi,US,2020-03-10T02:33:04,0,0,0,32.7416,-89.6787,20.4,83
Montana,US,2020-03-10T02:33:04,0,0,0,46.9219,-110.4544,-2.0,74
New Mexico,US,2020-03-10T02:33:04,0,0,0,34.8405,-106.2485,10.0,75
North Dakota,US,2020-03-10T02:33:04,0,0,0,47.5289,-99.78399999999999,2.7,89
South Dakota,US,2020-03-10T02:33:04,0,0,0,44.2998,-99.4388,5.9,69
West Virginia,US,2020-03-10T02:33:04,0,0,0,38.4912,-80.9545,10.6,96
Wyoming,US,2020-03-10T02:33:04,0,0,0,42.756,-107.3025,-2.7,91
