Fecha,Temperatura media Cº
13/9/2020,12.1
14/9/2020,13.7
15/9/2020,11
16/9/2020,13.6
17/9/2020,15.7
18/9/2020,15.9
19/9/2020,16.1
20/9/2020,15.6
21/9/2020,15
22/9/2020,17.3
23/9/2020,17.5
24/9/2020,16.5
25/9/2020,10.3
26/9/2020,12
27/9/2020,12.5
28/9/2020,13.7
29/9/2020,11
30/9/2020,10.9
1/10/2020,12
2/10/2020,10.6
3/10/2020,9.8
4/10/2020,10.7
5/10/2020,12.3
6/10/2020,13.5
7/10/2020,14.5
8/10/2020,15.1
9/10/2020,16.6
10/10/2020,18.4
11/10/2020,18.4
12/10/2020,19.2
13/10/2020,17.1
14/10/2020,14.3
15/10/2020,18.5
16/10/2020,16.3
17/10/2020,17.3
18/10/2020,16.7
19/10/2020,16.7
20/10/2020,18
21/10/2020,17.4
22/10/2020,16.8
23/10/2020,17.2
24/10/2020,15.8
25/10/2020,15.3
26/10/2020,17.2
27/10/2020,12.8
28/10/2020,14.2
29/10/2020,17.2
30/10/2020,18.4
31/10/2020,18.9
1/11/2020,16.7
2/11/2020,17.5
3/11/2020,19
4/11/2020,17
5/11/2020,17.6
6/11/2020,19
7/11/2020,19.9
8/11/2020,17.9
9/11/2020,18.4
10/11/2020,19.3
11/11/2020,16.5
12/11/2020,17.5
13/11/2020,13.6
14/11/2020,16.3
15/11/2020,17.2
16/11/2020,16.8
17/11/2020,14
18/11/2020,16.6
19/11/2020,15.1
20/11/2020,15.9
21/11/2020,16
22/11/2020,19.1
23/11/2020,19.1
24/11/2020,19
25/11/2020,19.1
26/11/2020,22
27/11/2020,20.8
28/11/2020,19.5
29/11/2020,20.9
30/11/2020,22.3
1/12/2020,20.6
2/12/2020,18.1
3/12/2020,20.9
4/12/2020,20.5
5/12/2020,19.6
6/12/2020,20.6
7/12/2020,20
8/12/2020,19.4
9/12/2020,22.8
10/12/2020,18.9
11/12/2020,19.6
12/12/2020,20.8
13/12/2020,21.6
14/12/2020,22.7
15/12/2020,21.5
16/12/2020,22.2
17/12/2020,21
18/12/2020,15.5
19/12/2020,17.2
20/12/2020,19.5
21/12/2020,22.4
22/12/2020,22.3
23/12/2020,21.2
24/12/2020,22.1
25/12/2020,23.4
26/12/2020,21.3
27/12/2020,19.5
28/12/2020,21.9
29/12/2020,20.7
30/12/2020,21.7
31/12/2020,23.5
1/1/2021,22.6
2/1/2021,21.3
3/1/2021,22.1
4/1/2021,23
5/1/2021,20.3
6/1/2021,20.9
7/1/2021,22.7
8/1/2021,21.4
9/1/2021,18.7
10/1/2021,18.6
11/1/2021,19.4
12/1/2021,21.3
13/1/2021,21.3
14/1/2021,20.7
15/1/2021,21.3
16/1/2021,21.5
17/1/2021,22.3
18/1/2021,22.9
19/1/2021,22.1
20/1/2021,21.7
21/1/2021,21.3
22/1/2021,22
23/1/2021,22.2
24/1/2021,22.9
25/1/2021,22.7
26/1/2021,22.2
27/1/2021,20.9
28/1/2021,21.8
29/1/2021,19.9
30/1/2021,17.3
31/1/2021,18.8
1/2/2021,17.5
2/2/2021,18.4
3/2/2021,20.6
4/2/2021,22.9
5/2/2021,18.7
6/2/2021,17
7/2/2021,18.1
8/2/2021,18.5
